CRATER_ID,lat,lon,diam_km,source,match_dist_km,flagged_low_confidence_match,original_area,original_degree,corrected_area,corrected_degree,final_area,final_degree,reviewed,agrees,flag_bad_match,note
02-1-004775,1.00666,235.617,3.71381,additional_hebrew_list,0.2655708140305699,False,highland,v-fr,,,highland,v-fr,True,True,False,
02-1-013542,3.68587,266.289,1.05221,additional_hebrew_list,4.549189562715708,True,highland,v-fr,highland,r-dr,highland,r-dr,True,False,False,
02-1-020934,6.4605,264.106,1.85732,additional_hebrew_list,0.2782400796946885,False,highland,v-fr,,,highland,v-fr,True,True,False,
02-1-037395,9.65033,268.642,1.21656,additional_hebrew_list,3.483343307449117,True,highland,v-fr,highland,r-dr,highland,r-dr,True,False,False,
02-1-041474,11.8011,181.263,1.61743,additional_hebrew_list,3.299430894787886,True,highland,v-fr,highland,v-fr,highland,v-fr,True,False,True,
02-1-054643,14.2631,269.584,1.1288,additional_hebrew_list,0.1299598377307101,False,highland,v-fr,,,highland,v-fr,True,True,False,
02-1-123677,35.831,233.892,1.36648,additional_hebrew_list,0.0956807980158163,False,highland,v-fr,,,highland,v-fr,True,True,False,
02-1-171121,55.9223,186.744,1.44578,additional_hebrew_list,0.1669034727598569,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
02-1-174660,56.8255,214.24,2.42074,additional_hebrew_list,0.1695794073630444,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
02-1-176029,57.8598,210.013,1.34313,additional_hebrew_list,0.1313676917902419,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
02-2-000286,4.89732,262.542,1.32667,additional_hebrew_list,4.7199383056827005,True,highland,v-fr,highland,v-fr,highland,v-fr,True,False,True,
02-3-000255,3.83597,180.753,1.98968,additional_hebrew_list,0.1742191289058112,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
03-1-006754,-1.81414,187.757,1.10565,additional_hebrew_list,0.1396234596287038,False,highland,v-fr,,,highland,v-fr,True,True,False,
03-1-072618,-23.3631,194.448,1.66342,additional_hebrew_list,0.1480237260417702,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
03-1-085580,-28.4265,186.437,3.66384,additional_hebrew_list,0.179913823137367,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
03-1-100594,-34.642,234.34,1.39902,additional_hebrew_list,0.0447364841275618,False,highland,v-fr,,,highland,v-fr,True,True,False,
03-1-122545,-42.4428,264.771,2.02041,additional_hebrew_list,0.0572719330079568,False,highland,v-fr,highland,r-fr,highland,r-fr,True,False,False,
04-1-005863,3.94537,312.037,1.23745,additional_hebrew_list,0.2529979484239776,False,mare,v-fr,,,mare,v-fr,True,True,False,
04-1-015449,9.63682,337.715,2.14452,additional_hebrew_list,0.2261771796247172,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-023557,14.2675,326.965,2.20245,additional_hebrew_list,0.3403308733179231,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-024240,14.1059,273.188,1.31619,additional_hebrew_list,0.3196815969391195,False,highland,v-fr,,,highland,v-fr,True,True,False,
04-1-024475,15.2177,277.0,1.1399,additional_hebrew_list,0.2411375041894262,False,highland,v-fr,highland,v-fr,highland,v-fr,True,False,True,
04-1-025115,15.2597,301.011,1.01496,additional_hebrew_list,18.35866867216109,True,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
04-1-025497,14.5748,327.336,2.39235,additional_hebrew_list,0.1912732002025961,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-028466,16.1533,298.535,1.59417,additional_hebrew_list,0.2507797252637985,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-029631,17.1053,299.607,2.81903,additional_hebrew_list,0.2091407250567837,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-034056,19.1839,302.825,2.84436,additional_hebrew_list,0.1919143905703369,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-040478,21.3901,331.039,3.87105,additional_hebrew_list,0.3372465395895341,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-047896,24.6277,342.858,3.99413,additional_hebrew_list,0.2747459412511808,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-047987,24.8484,340.943,1.47919,additional_hebrew_list,0.2024896093399833,False,mare,r-fr,,,mare,r-fr,True,True,False,
04-1-049194,24.6882,281.53,1.01459,additional_hebrew_list,0.2588409845688486,False,mare,v-fr,,,mare,v-fr,True,True,False,
04-1-050401,26.3646,293.908,1.93986,additional_hebrew_list,0.2488182339380804,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-058781,28.4971,325.718,1.96846,additional_hebrew_list,0.2414709827784558,False,mare,v-fr,mare,r-fr,mare,r-fr,True,False,False,
04-1-061012,29.7365,347.962,1.04504,additional_hebrew_list,4.359279982211796,True,mare,v-fr,mare,v-fr,mare,v-fr,True,False,True,
04-1-061092,29.0784,346.396,1.0446,additional_hebrew_list,0.2063965610173473,False,mare,v-fr,,,mare,v-fr,True,True,False,
