id,lat,lon,x,y,diam
08-1-044619,11.4941,116.807,3541979.5929936287,348539.62211021653,6306.59
08-1-061639,15.8766,158.554,4807888.503150597,481431.7053440516,4968.57
04-2-018570,57.9419,-77.61099999999999,-2353425.5497686653,1756992.537941027,5415.93
09-1-003400,-0.0215959,121.631,3688259.4354397254,-654.8600434248898,6889.2300000000005
09-1-168447,-47.6783,129.326,3921597.616953556,-1445765.7985277262,7557.32
08-1-041792,11.1897,135.849,4119396.8317702822,339309.19424110546,3413.2799999999997
09-1-110394,-29.7693,94.3599,2861308.3136877026,-902704.9157816331,3162.13
08-1-210859,56.3976,90.1348,2733189.1258106288,1710164.1878810127,3533.9700000000003
04-1-095634,49.4953,-81.82,-2481056.5317039103,1500863.326248406,3183.79
07-1-119099,-33.0723,83.7616,2539932.348887439,-1002862.9422325989,3011.79
09-1-111002,-29.4916,104.882,3180373.639185646,-894284.1213688469,3443.98
08-1-027117,7.54921,120.528,3654812.7799218893,228917.34025549353,6526.32
02-1-143143,43.6399,-154.533,-4685958.3110950915,1323307.980174841,5641.200000000001
02-1-162373,51.3193,-134.875,-4089861.8884571614,1556173.1174220545,5314.24
05-1-001516,-53.6167,-74.851,-2269733.102598013,-1625837.9826864956,7499.85
07-2-001852,-21.6677,25.5405,774473.53150799,-657037.2599853437,8739.699999999999
02-1-155289,48.4935,-167.412,-5076492.741207713,1470485.3937934928,4909.849999999999
02-1-143084,43.747,-153.014,-4639897.141800809,1326555.6110052674,3477.9300000000003
09-1-097255,-25.0677,172.057,5217344.703927887,-760136.6514274519,3701.52
07-1-150257,-39.6962,9.04446,274258.32997720304,-1203721.7831071226,3235.85
03-1-140628,-52.1764,-151.42,-4591561.721224714,-1582163.261070593,3212.2999999999997
08-1-014088,4.51903,167.986,5093898.344351174,137032.13026724424,3844.92
04-1-019536,11.3641,-38.12099999999998,-1155956.4415190017,344597.58655507717,3604.48
07-1-078529,-21.0185,71.1007,2156011.441502325,-637351.3408899859,3012.06
02-1-068222,18.5534,-161.427,-4895007.488919178,562601.2497594149,8582.5
02-1-169051,54.7106,-101.839,-3088099.683844959,1659008.6957154726,3164.21
08-1-155450,38.5739,91.251,2767036.0495540644,1169689.8869260997,3267.9
08-1-005978,0.272424,176.361,5347856.404153426,8260.808415948499,3717.0299999999997
07-1-001208,-35.7785,29.5558,896230.8804660772,-1084923.9931504324,8448.97
07-1-147652,-39.106,55.2436,1675171.0414915443,-1185824.9416867897,4310.8
03-1-053622,-17.8805,-146.044,-4428543.389344487,-542196.6672590049,3027.31
07-1-075274,-20.8176,6.05343,183560.2791580592,-631259.3797897743,3012.47
03-1-049103,-17.2383,-110.23400000000001,-3342664.2106556944,-522723.0116166159,3692.77
05-1-003858,-0.529725,-79.52600000000001,-2411494.765830912,-16063.036803432586,3191.29
02-1-122802,35.8274,-151.473,-4593168.858797195,1086406.804986173,3524.63
09-2-000229,-1.56937,111.868,3392212.565248754,-47588.55645514747,4261.9
07-1-174291,-45.0805,66.9418,2029899.6594233299,-1366991.7987958707,3104.8399999999997
02-1-038993,11.007,-134.423,-4076155.734065446,333769.1181186134,3421.21
04-1-063242,29.1891,-82.72399999999999,-2508468.8404873414,885111.3078655417,3756.4
06-1-082956,40.268,40.4234,1225772.9235355642,1221060.6748796513,5933.349999999999
05-1-097778,-45.4463,-61.80500000000001,-1874134.672964559,-1378084.0803810246,4639.2
09-1-045423,-12.2442,92.3953,2801735.0594444186,-371285.16726337106,3954.66
09-1-036157,-8.97438,125.012,3790782.683223775,-272133.26957947866,3323.3799999999997
08-1-037205,9.43124,139.268,4223072.36687045,285986.79545425554,5475.799999999999
07-1-218986,-56.8129,62.4807,1894624.1608461565,-1722757.475312162,4681.9800000000005
02-1-106443,29.7322,-93.36700000000002,-2831200.259051565,901579.9194808971,4291.54
07-1-007044,-1.66711,70.0657,2124626.7738133306,-50552.360725603845,3420.75
07-1-175198,-44.9372,82.8896,2513490.387317581,-1362646.46268009,3117.09
